MES,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ENERO,10.58,13.08,13.27,14.0,14.72,15.3262,16.13207272727273,17.1526,17.978,18.8831,19.0274,19.0272,19.0272,19.0273,19.02730073227386,19.027161904761904,19.21427142857143,20.1421560124744,20.77085909090909,21.757338095238097,22.612015,23.75250952380953,23.764049999999987,24.507613636363626,24.822081818181815
FEBRERO,10.8,12.94,13.32,14.06,14.79,15.3828,16.25,17.2324,18.0585,18.9521,19.0273,19.0272,19.0273,19.0273,19.027343301322368,19.02732,19.296152380952382,20.219125,20.818285,21.927895000000003,22.745595238095245,23.732265,23.728765,24.554219999999997,24.8441
MARZO,11.03,12.93,13.37,14.13,14.83,15.4285,16.3248,17.305,18.1407,18.9964,19.0274,19.0268,19.0293,19.0274,19.027321991515695,19.027282608695657,19.37444545454545,20.28348333333333,20.87539047619047,21.988670000000003,22.784505555555555,23.696391304347827,23.78163157894737,24.593866666666663,24.8882
ABRIL,11.18,12.97,13.36,14.19,14.87,15.4911,16.404085714285717,17.3812,18.2184,19.0422,19.0274,19.0272,19.0388,19.0274,19.027131319579123,19.0272625,19.43998421052632,20.35689545454545,20.919916666666666,22.093894444444445,22.74838,23.626559999999998,23.816995238095235,24.604111764705884,24.979451690909094
MAYO,11.31,13.21,13.43,14.26,14.94,15.544763636363633,16.480781818181818,17.4302,18.3014,19.0118,19.0274,19.0272,19.0408,19.0274,19.02732777160105,19.02729047619048,19.513613636363637,20.442290909090914,20.96597142857143,22.09135,22.7662380952381,23.634527272727272,23.96820909090909,24.628700000000002,25.004166666666666
JUNIO,11.64,13.23,13.48,14.33,14.97,15.615,16.57,17.4905,18.3752,18.9938,19.0273,19.027,19.0307,19.027286363636364,19.02731082483825,19.02731363636364,19.59254761904762,20.522789999999997,21.06798571428572,22.07817272727273,22.90089113636364,23.607795454545453,24.12022857142857,24.676869999999997,
JULIO,12.11,13.24,13.53,14.39,15.0278,15.6727,16.64,17.5633,18.4479,18.9992,19.0268,19.027140000000003,19.0276,19.0273,19.026572904093246,18.9998571428571,19.67198636363636,20.59922173913044,21.11122608695652,22.072556304347824,22.999314285714288,23.599004761904762,24.154063636363638,24.67097391304348,
AGOSTO,12.41,13.24,13.58,14.43,15.0808,15.707995652173912,16.73,17.6498,18.5377,19.0023,19.0268,19.0271,19.0274,19.0273,19.026163704406773,18.976995652173912,19.755047826086958,20.60196818181818,21.20147142857143,22.134614285714292,23.049226086956523,23.535952173913046,24.16560869565217,24.71240909090909,
SEPTIEMBRE,12.57,13.24,13.67,14.52,15.1543,15.765010000000004,16.824825,17.7266,18.6226,19.0123,19.0273,19.0271,19.0274,19.027245000000004,19.026284110869828,19.057814642645756,19.834789307399603,20.668633333333332,21.315408789627323,22.101642857142863,23.126376190476186,23.54644,24.207625,24.777834126315792,
OCTUBRE,12.71,13.25,13.73,14.56,15.2125,15.85787,16.93,17.7973,18.6955,19.0263,19.0272,19.0271,19.0274,19.02738947368421,19.026958715620324,19.125638888888886,19.908726086956527,20.672628571428568,21.43863,22.192799999999995,23.243055555555554,23.63042352941176,24.24257777777778,24.807416647368417,
NOVIEMBRE,12.76,13.25,13.83,14.61,15.26625454545454,15.973861904761904,17.0,17.8758,18.7501,19.0274,19.0272,19.027200000000008,19.0274,19.027230685538854,19.02631119821792,19.11524090909091,19.98745454545455,20.694152380952385,21.505585,22.30009523809524,23.34273181818182,23.73324285714286,24.391972727272726,24.8093140952381,
DICIEMBRE,12.93,13.26,13.92,14.66,15.3094,16.049609999999998,17.0683,17.9302,18.8102,19.0269,19.0273,19.02710555555555,19.0273,19.027145887262208,19.02648309263862,19.143457142857145,20.06614358151623,20.737766666666666,21.626259090909095,22.446530600000003,23.620228571428566,23.722863157894732,24.49894736842105,24.81792743333333,
PROMEDIO,11.835833333333333,13.15333333333333,13.540833333333333,14.345,15.014254545454543,15.65128426610829,16.61290543831169,17.544575,18.411350000000002,18.99781666666667,19.02723333333333,19.027112129629632,19.029883333333334,19.027308117510135,19.026875805581422,19.04855295871045,19.637930203421423,20.4950926318978,21.134749064390643,22.098796629354624,22.994879794463788,23.651497919641432,24.07005622373897,24.680104781162033,24.90760003515151
